date,wind_speed_700,wind_speed_850,wind_shear,temp_lapse
2022-04-03,4.8953104,2.4757211,2.4195895,8.474497
2022-04-04,3.95679,2.5289302,1.4278599,9.077584
2022-04-05,4.116142,2.188522,1.9276198,9.138065
2022-04-06,3.0876405,2.0875695,1.0000712,9.232927
2022-04-07,3.306964,1.9385458,1.368418,8.90032
2022-04-08,4.332761,2.054259,2.2785017,8.955775
2022-04-09,4.2892294,1.8914627,2.3977666,9.038374
2022-04-10,4.952565,1.9217886,3.0307767,9.128079
2022-04-11,2.868285,1.949786,0.91849905,7.761123
2022-04-12,2.1508474,1.5682771,0.5825704,7.955621
2022-04-13,5.070228,2.3740332,2.6961946,7.856441
2022-04-14,7.165415,3.6203032,3.545112,10.174497
2022-04-15,6.322557,3.3160338,3.0065234,10.750318
2022-04-16,5.7386823,2.9130633,2.8256192,11.026225
2022-04-17,5.1562552,2.6281567,2.5280983,11.128288
2022-04-18,2.766435,1.675096,1.091339,9.6665945
2022-04-19,3.3751497,1.6985062,1.6766435,9.387564
2022-04-20,1.9955103,1.8184788,0.17703156,8.902906
2022-04-21,2.4732053,2.0513518,0.4218535,9.000711
2022-04-22,4.656657,2.6584606,1.9981966,8.760013
2022-04-23,5.375582,3.137634,2.237948,9.548376
2022-04-24,5.216413,3.101764,2.1146488,10.238492
2022-04-25,3.5677216,2.372342,1.1953797,10.31759
2022-04-26,5.2073836,2.7248766,2.482507,10.482536
2022-04-27,3.6365795,2.015084,1.6214955,10.538953
2022-04-28,3.0391345,2.1459725,0.8931617,9.416092
2022-04-29,3.2518048,1.5165638,1.7352412,9.220112
2022-04-30,4.007432,0.9892291,3.0182028,8.859321
2022-05-01,3.3283212,1.6129937,1.7153275,9.579905
2022-05-02,4.53755,1.8161346,2.7214155,9.43717
2022-05-03,1.7422814,1.8789377,-0.13665624,9.213577
2022-05-04,1.4231358,1.6155671,-0.19243135,8.663966
2022-05-05,1.3847717,1.7616011,-0.37682927,8.606276
2022-05-06,3.0315456,2.2193687,0.8121767,9.190834
2022-05-07,2.298347,2.0333073,0.26503965,9.263114
2022-05-08,2.6586344,1.9997436,0.6588908,9.3661375
2022-05-09,2.3547227,2.0360532,0.31866953,9.28125
2022-05-10,2.0250943,1.9342422,0.09085211,9.005468
2022-05-11,2.0407965,1.7074142,0.33338252,8.687639
2022-05-12,2.8436794,2.1449938,0.6986855,8.589153
2022-05-13,2.8019326,2.066236,0.73569643,8.212045
2022-05-14,3.5198243,2.0181165,1.5017078,7.981333
2022-05-15,3.8130002,1.7986075,2.0143929,8.192761
2022-05-16,5.248108,2.23438,3.0137281,7.9078417
2022-05-17,6.3258977,2.8589888,3.466909,8.480444
2022-05-18,4.78017,2.4689069,2.3112628,9.461487
2022-05-19,5.2634335,2.24915,3.0142832,9.038583
2022-05-20,4.9667263,2.1084278,2.8582985,8.871688
2022-05-21,4.793082,1.9263622,2.8667197,8.582781
2022-05-22,5.029807,2.1362438,2.8935635,8.807271
2022-05-23,2.6003542,2.0128396,0.58751464,9.587566
2022-05-24,3.1080136,1.9461755,1.1618382,9.412996
2022-05-25,2.972685,1.8285631,1.1441221,9.27269
2022-05-26,1.8567623,1.7628937,0.093868636,9.31052
2022-05-27,2.1231723,1.6837361,0.43943617,9.188718
2022-05-28,2.3006732,1.454425,0.8462482,8.528953
2022-05-29,2.1306555,2.115084,0.015571579,8.165525
2022-05-30,2.8954973,2.2434134,0.6520839,7.600969
2022-05-31,2.1529038,1.9344813,0.21842252,8.310568
2022-06-01,1.9666988,1.9047431,0.0619556,8.290997
2022-06-02,2.0799472,1.8883317,0.19161566,7.7934647
